UID_fes3,fes3_QA01,fes3_QA02,fes3_QA04_A,fes3_QA04_B,fes3_QA04_C,fes3_QA14,fes3_QA13,fes3_QA17,fes3_QA05_1,fes3_QA05_2,fes3_QA06_1,fes3_QA06_2,fes3_QA07_A,fes3_QA07_B,fes3_QA07_C,fes3_QA07_D,fes3_QA07_E,fes3_QA07_F,fes3_QA07_G,fes3_QA07_H,fes3_QA07_I,fes3_QA07_J,fes3_QA12_1,fes3_QA12_2,fes3_QA12_3,fes3_QA12_4,fes3_QA12_5,fes3_QA12_6,fes3_QA12_7,fes3_QA08_A,fes3_QA08_B,fes3_QA08_C,fes3_QA08_D,fes3_QA11_1,fes3_QA11_2,fes3_QA11_3,fes3_QA15,fes3_QA16_1,fes3_QA16_2,fes3_QA16_3,fes3_QA16_4,fes3_QA16_5,fes3_QA16_DO_QA16_1,fes3_QA16_DO_QA16_2,fes3_QA16_DO_QA16_3,fes3_QA16_DO_QA16_4,fes3_QA16_DO_QA16_5,fes3_QA09_1,fes3_QA09_2,fes3_QA09_3,fes3_QA10_A,fes3_QA10_B,fes3_QA10_C,fes3_QA10_D,fes3_ccl_q01,cal_AGE,cal_DIPL,cal_SEXE,cal_TUU,cal_ZEAT,PDSPLT_INIT1,PDSPLT_INIT2,POIDS_INIT,cal_AGE1,cal_AGE2,cal_NAT,cal_DIPL2,POIDS_fes3,PDSPLT2_fes3,PDSPLT1_fes3,panel,eayy_a1,eayy_a2a_rec,eayy_a2a_rec2,eayy_a3_rec,eayy_a3b_rec,eayy_a3c_rec,eayy_a3d,eayy_a3e_rec,eayy_a4,eayy_a5,eayy_a5c_rec,eayy_b1,eayy_b1_rev,eayy_b1_sc,eayy_b1_sccjt,eayy_b10a,eayy_b10aa,eayy_b10acjt,eayy_b11,eayy_b11cjt,eayy_b18_rec,eayy_b18c,eayy_b18ccjt,eayy_b18cjt_rec,eayy_b1a,eayy_b1acjt,eayy_b1b,eayy_b1bcjt,eayy_b1cjt,eayy_b1cjt_rev,eayy_b2_11a_rec,eayy_b2_11acjt_rec,eayy_b2_rec,eayy_b25,eayy_b25_rec,eayy_b25cjt_rec,eayy_b2cjt_rec,eayy_b4_rec,eayy_b4cjt_rec,eayy_b5,eayy_b5_rec,eayy_b5a,eayy_b5a_rec,eayy_b5acjt,eayy_b5c,eayy_b5c_rec,eayy_b5ccjt,eayy_b5d_rec,eayy_b6a_12a_rec,eayy_b6a_rec,eayy_b6b_12b_rec,eayy_b6b_rec,eayy_b7b_rec,eayy_b8_rec,eayy_b8cjt_rec,eayy_c1_rec,eayy_c1jeu,eayy_c8,eayy_c8a_rec,eayy_c8b_rec,eayy_d1,eayy_d1_rec,eayy_d2,eayy_d2_rev,eayy_d3,eayy_d4_rec,eayy_d5_rec,eayy_d6,eayy_d7_1,eayy_d7_10,eayy_d7_2,eayy_d7_3,eayy_d7_4,eayy_d7_5,eayy_d7_6,eayy_d7_7,eayy_d7_8,eayy_d7_9,eayy_d7_rev_1,eayy_d7_rev_10,eayy_d7_rev_11,eayy_d7_rev_2,eayy_d7_rev_3,eayy_d7_rev_4,eayy_d7_rev_5,eayy_d7_rev_6,eayy_d7_rev_7,eayy_d7_rev_8,eayy_d7_rev_9,eayy_e1a_rec,eayy_e1b_rec,eayy_e1c_rec,eayy_e1d_rec,eayy_e1e_rec,eayy_e1f,eayy_e1f1_rec,eayy_e1f2_rec,eayy_e1g_rec,eayy_e1h_rec,eayy_e1i_rec,eayy_e1j_rec,eayy_e2a_rec,eayy_e2auc,eayy_e2auc_source,eayy_e3a,eayy_e3b,eayy_e3c,eayy_e3d,eayy_e3e,eayy_e4,eayy_e5,eayy_e6,eayy_f1_rec,eayy_f1_rev,eayy_f1a1,eayy_f3,eayy_f3_rev,eayy_f4,eayy_f6_rec,eayy_f6a,eayy_f7,eayy_f7_1,eayy_f7_10,eayy_f7_11,eayy_f7_12,eayy_f7_13,eayy_f7_14,eayy_f7_15,eayy_f7_2,eayy_f7_3,eayy_f7_4,eayy_f7_5,eayy_f7_6,eayy_f7_8,eayy_f7_9,eayy_f7bis_1,eayy_f7bis_10,eayy_f7bis_11,eayy_f7bis_12,eayy_f7bis_13,eayy_f7bis_14,eayy_f7bis_2,eayy_f7bis_3,eayy_f7bis_4,eayy_f7bis_5,eayy_f7bis_6,eayy_f7bis_7,eayy_f7bis_8,eayy_f7bis_9,eayy_f8,eayy_f9,eayy_g1,eayy_g1_1,eayy_g1_2,eayy_g10,eayy_g2,eayy_g3a,eayy_g3b,eayy_g3c,eayy_g3d,eayy_g4,eayy_g5,eayy_g6_1,eayy_g6_2,eayy_g6_3,eayy_g6_4,eayy_h_c11,eayy_h_teo1,eayy_h1a,eayy_h4,eayy_i1,eayy_i13a,eayy_i13b,eayy_i2,eayy_i8,eayy_j1,eayy_k3,eayy_pcs18,eayy_pcs6,eayy_pcs6cjt,eayy_typmen5,VAGUE
481,10,5,8,8,8,1,1,1,1,1,1,1,0,10,7,7,5,0,6,0,5,6,3,1,1,2,2,3,3,8,8,3,5,2,2,1,3,1,1,1,1,2,4,2,1,3,5,2,2,2,7,9,8,7,9,6,1,1,6,9, , ,,533998659607277, , , , ,,289767621258734, , ,3,1,9996,14,1,1,6666,2,6666,4,1,7,9996,5,6666,2,6666,6666,6666,1,1,11,5,3,9,2,2,2,2,9996,5,1,4,9996,9996,6666,2,9996,2,6666,6666,9996,9996,1,6666,9996,6666,6666,6666,6666,9996,6666,9996,10,6666,4,2,1,1,3,1,1,9996,9996,6666,1,7,5,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,9996,2,2,2,2,1,2,12,10,1,1,9999,1,1,1,2,4,3,9996,8,6,9996,7,4,9996,5,9996,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,6666,1,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,6666,9996,3,9996,2,1,6666,2,2,2,2,1,4,2,2,2,1,1,1,4,9996,1,3,5,4,3,4,3,5,31,3,4,3,2022
244,10,9,6,3,5,1,1,1,1,1,2,1,5,5,5,5,5,5,5,2,5,4,2,3,2,1,1,2,1,7,7,7,5,5,1,1,1,1,3,4,1,3,5,2,3,1,4,1,1,1,0,0,0,9,9,6,1,1,1,8, , ,,209952703718458, , , , ,,0925049757417541, , ,3,1,9996,14,1,1,6666,2,6666,4,1,7,9996,5,6666,2,6666,6666,6666,1,1,11,5,5,11,2,2,2,2,9996,5,1,4,9996,9996,6666,2,9996,1,6666,6666,9996,9996,2,6666,9996,7,6666,6666,6666,9996,6666,9996,11,6666,4,2,1,2,6666,6666,1,9996,9996,6666,1,6,5,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,9999,9999,9999,1,9999,9996,9999,9999,9999,9999,1,9999,12,10,1,1,2,1,2,1,2,5,1,9996,7,2,9996,2,3,9996,7,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,8,9996,1,1,6666,3,1,1,1,1,1,2,2,2,1,2,1,1,9996,1,2,5,4,1,6,2,1,31,3,3,3,2022
1331,10,4,8,8,8,4,3,1,3,3,4,4,5,5,5,5,5,5,5,5,5,5,3,3,3,2,2,3,2,4,3,5,3,5,5,5,3,2,2,2,3,3,3,4,5,1,2,1,2,3,5,4,5,5,5,5,1,2,0,1, , ,1,0931395364296, , , , ,,617204609309323, , ,3,2,9996,8,1,1,6666,2,6666,4,1,5,9996,1,6666,2,6666,6666,6666,6666,6666,10,4,5,11,6666,6666,1,1,9996,1,2,2,9996,9996,1,2,9996,6666,6666,1,9996,9996,1,1,9996,6666,6666,4,6666,9996,9,9996,6,6666,6666,4,3,1,2,3,2,9996,9996,6666,1,5,5,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,9996,2,2,2,2,2,2,12,7,1,1,2,2,2,2,2,4,3,9996,6,6,9996,3,3,9996,4,9996,2,2,2,2,2,2,2,2,1,2,1,2,2,2,6666,6666,6666,6666,6666,6666,6666,2,6666,1,6666,6666,6666,6666,9996,6,9996,4,2,6666,3,1,1,1,1,2,2,2,2,1,2,1,1,9996,1,3,4,1,3,6,2,1,32,3,4,4,2022
1693,10,2,10,10,10,2,3,1,1,1,1,1,0,0,10,0,0,0,0,0,5,0,2,4,4,2,2,4,2,5,5,10,5,2,1,1,1,1,1,1,1,1,1,3,2,5,4,1,3,2,0,0,0,10,10,5,1,2,6,7, , ,,301623298116074, , , , ,,179021597832245, , ,3,2,9996,11,2,1,6666,2,6666,4,1,7,9996,1,6666,2,6666,6666,6666,6666,1,6,2,3,8,6666,2,1,2,9996,5,4,2,9996,9996,2,1,9996,6666,6666,1,9996,9996,1,6666,9996,6666,6666,3,4,9996,6666,9996,7,1,6666,1,1,1,2,1,1,9996,9996,6666,1,7,5,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,9996,2,2,2,2,2,2,6666,9,3,1,2,1,2,1,1,6,1,9996,7,4,9996,1,2,9996,6,9996,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,2,9996,3,9999,2,3,1,1,1,1,1,1,2,2,2,1,1,4,9996,2,1,3,2,3,5,3,5,55,5,6,1,2022
171,9,8,8,7,8,3,1,1,3,3,3,3,4,5,5,8,1,0,0,0,5,5,2,3,3,2,2,2,2,7,5,6,4,1,1,2,2,2,2,2,2,2,1,4,3,5,2,1,2,2,6,3,5,6,8,4,2,1,4,8, , ,,918167046528189, , , , ,,73297925997157, , ,3,1,9996,9,1,1,6666,2,6666,2,1,6,9996,1,6666,2,6666,6666,6666,6666,6666,8,3,4,10,6666,6666,1,1,9996,1,2,2,9996,9996,2,1,9996,6666,6666,1,9996,9996,1,1,9996,6666,6666,5,6666,9996,7,9996,11,6666,6666,4,2,2,6666,6666,2,9996,9996,6666,1,7,4,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,9996,2,2,2,2,2,2,7,2,2,1,1,1,3,3,1,3,3,9996,8,2,9996,9999,3,9996,2,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,7,9996,2,1,6666,1,4,1,1,1,1,2,2,2,1,2,2,1,9996,1,3,2,3,2,4,2,1,51,5,4,4,2022
543,9,9,7,5,7,4,1,1,3,3,3,3,5,5,5,8,7,4,3,0,5,5,2,4,3,2,2,3,3,8,5,5,4,5,1,1,1,2,2,2,1,1,2,1,4,3,5,1,2,2,6,4,5,7,7,6,3,2,4,5, , ,,600314981814311, , , , ,,390467789390281, , ,3,2,9996,15,1,1,6666,2,6666,4,1,7,9996,5,6666,2,6666,6666,6666,1,1,5,1,4,10,2,2,2,2,9996,5,2,4,9996,9996,2,1,9996,6666,6666,6666,9996,9996,2,6666,9996,5,6666,6666,6666,9996,7,9996,5,6666,3,1,1,1,2,1,1,9996,9996,6666,1,5,3,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,9996,2,2,2,2,2,2,6666,10,3,1,1,1,2,1,2,5,3,9996,7,6,9996,3,3,9996,6,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,5,9996,2,2,6666,3,1,1,1,1,2,2,1,2,2,2,2,1,9996,1,2,5,4,2,8,4,1,32,3,3,1,2022
430,7,4,6,9,7,2,5,2,2,2,3,1,0,1,2,0,4,7,10,5,7,2,3,4,4,2,2,4,2,3,2,4,1,2,1,2,2,2,3,3,1,2,2,5,3,1,4,2,1,2,1,1,1,1,4,1,2,2,4,2, , ,1,89391989415564, , , , ,3,58387331293768, , ,3,2,9996,4,1,1,6666,1,2,1,3,6666,9996,3,2,6666,6666,6666,6666,6666,6666,8,3,6666,6666,2,6666,2,6666,9996,6666,6666,6666,9996,9996,6666,6666,9996,6666,6666,6666,9996,9996,6666,6666,9996,6666,6666,6666,6666,9996,6666,9996,6666,6666,6666,5,3,2,6666,6666,4,9996,9996,1,1,6,5,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,9996,2,2,2,2,2,2,3,1,1,1,3,3,3,3,2,5,3,9996,5,2,9996,5,3,9996,2,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,5,9996,9999,1,6666,4,1,1,2,1,4,2,2,2,1,2,2,3,9996,2,1,4,5,3,8,2,2,6666,6666,6666,5,2021
810,7,1,2,1,0,1,1,1,4,4,4,4,1,0,2,5,1,10,7,0,1,2,2,4,4,2,2,4,2,10,7,7,8,2,2,3,1,1,2,3,1,1,5,4,1,2,3,1,3,2,5,8,6,5,8,1,2,2,0,2, , ,3,18150419806842, , , , ,6,33502541057836, , ,3,2,9996,5,1,1,6666,2,6666,3,1,4,9996,1,2,2,6666,6666,6666,6666,6666,9,3,3,9,6666,6666,1,1,9996,1,2,4,9996,9996,2,2,9996,6666,6666,2,9996,9996,1,1,9996,6666,6666,3,6666,9996,8,9996,10,6666,2,4,3,1,2,3,2,9996,9996,4,1,4,3,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,9996,1,2,2,2,2,2,11,6,1,1,2,1,2,2,2,3,1,9996,8,4,9996,3,3,9996,7,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,5,9996,3,3,6666,2,2,1,1,1,4,2,1,2,2,2,2,1,9996,2,3,1,3,3,8,2,5,51,5,6,4,2022
1823,8,7,6,7,6,1,1,1,1,1,1,1,4,5,5,5,5,5,2,2,5,5,2,4,3,1,1,3,2,8,8,5,6,2,1,1,2,2,2,2,2,2,5,1,3,2,4,1,2,1,4,5,6,5,7,1,2,1,6,8, , ,3,18150419806842, , , , ,7,47877722868575, , ,3,1,9996,11,1,1,6666,2,6666,5,2,2,9996,1,6666,2,6666,6666,6666,6666,6666,9,3,1,1,6666,6666,1,1,9996,1,4,4,9996,9996,2,2,9996,6666,6666,1,9996,9996,1,1,9996,6666,6666,4,5,9996,6666,9996,2,3,1,1,1,2,6666,6666,1,9996,9996,6666,2,2,2,5,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,9999,9996,2,2,2,2,2,2,6666,8,3,2,2,1,2,2,2,4,3,9996,8,4,9996,1,3,9996,2,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,5,9996,1,1,6666,2,1,1,2,2,1,2,2,2,1,2,2,1,9996,1,3,4,3,2,5,1,4,47,4,5,1,2021
1203,10,9999,8,8,8,3,1,2,4,4,4,4,6,10,8,9,6,2,0,5,4,9,2,4,4,2,2,3,3,5,6,3,3,1,1,1,1,1,2,1,2,2,3,4,2,5,1,1,1,2,7,7,7,6,8,5,2,2,4,1, , ,2,61292751059886, , , , ,2,12331543362149, , ,3,2,9996,13,1,2,6666,2,6666,4,1,7,9996,5,6666,2,6666,6666,6666,1,1,9,3,4,10,2,2,2,2,9996,5,2,2,9996,9996,2,1,9996,6666,6666,6666,9996,9996,1,6666,9996,6666,6666,6666,6666,9996,8,9996,5,6666,6666,2,1,2,6666,6666,1,9996,9996,6666,1,5,5,1,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,2,2,2,2,2,1,2,2,2,9999,9999,9999,1,9999,9996,9999,9999,9999,9999,9999,9999,10,6,1,1,1,1,2,1,2,3,3,9996,7,4,9996,4,3,9996,2,9996,2,2,2,2,2,2,2,1,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,9996,4,9996,2,9999,6666,3,1,2,1,1,2,2,2,2,1,2,1,1,9996,1,2,4,3,2,5,2,1,51,5,5,3,2022
1218,10,7,9,8,8,3,1,2,1,3,1,4,4,5,9,4,4,1,0,0,7,7,2,4,4,2,2,3,3,8,8,8,5,1,1,1,1,1,1,1,1,1,3,5,1,4,2,1,2,2,10,10,10,2,9,5,2,2,0,7, , ,3,14263463709423, , , , ,2,35180225764081, , ,3,2,9996,13,1,1,6666,2,6666,1,3,6666,9996,5,6666,6666,6666,6666,6666,1,6666,9,3,6666,6666,2,6666,2,6666,9996,6666,2,6666,9996,9996,2,6666,9996,6666,6666,6666,9996,9996,1,6666,9996,6666,6666,6666,6666,9996,9,9996,11,6666,6666,1,1,2,6666,6666,1,9996,9996,6666,1,4,5,1,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,9996,2,2,2,2,2,2,6666,8,3,1,2,2,2,2,2,4,1,9996,8,3,9996,2,2,9996,6,9996,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,5,9996,1,4,6666,4,1,1,1,1,1,2,1,2,2,2,2,1,9996,1,1,2,1,3,0,3,1,55,5,6666,1,2022
627,10,8,7,5,8,3,3,1,3,1,3,1,5,8,9999,8,5,0,0,5,9999,5,2,4,4,2,2,3,2,5,9999,6,9999,2,2,2,2,2,3,2,2,2,4,3,2,1,5,1,2,2,3,3,3,8,5,5,1,1,8,1, , ,,280109785126939, , , , ,,166213042584577, , ,3,1,9996,12,1,1,6666,2,6666,4,1,7,9996,1,6666,2,6666,6666,6666,6666,6666,10,4,5,11,6666,6666,1,1,9996,1,4,4,9996,9996,1,2,9996,6666,6666,1,9996,9996,1,1,9996,6666,6666,5,6,9996,6666,9996,11,4,3,2,1,2,6666,6666,1,9996,9996,6666,1,6,5,5,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,9996,2,2,2,2,2,2,13,10,1,1,1,1,1,1,2,5,1,9996,8,3,9996,4,3,9996,3,9996,2,1,2,2,2,2,2,2,2,2,2,2,2,2,6666,5,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,6,9996,2,9999,6666,2,9999,3,9999,9999,1,2,2,2,1,2,1,2,9996,1,3,4,5,2,7,4,2,36,3,5,3,2022
762,8,8,5,5,6,1,2,1,3,2,4,1,3,7,5,7,3,1,1,2,0,8,3,4,4,2,2,2,3,7,7,3,6,2,2,2,1,2,3,1,2,1,4,2,5,1,3,1,2,2,7,7,6,7,7,4,1,2,6,2, , ,,24034835054518, , , , ,,162921873198161, , ,3,2,9996,9,1,1,6666,2,6666,3,1,7,9996,1,6666,2,6666,6666,6666,6666,6666,10,4,4,10,6666,6666,1,1,9996,1,1,4,9996,9996,6666,1,9996,2,6666,6666,9996,9996,1,1,9996,6666,6666,6666,6666,9996,6666,9996,6,6666,2,4,2,2,6666,6666,2,9996,9996,6666,1,4,4,5,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,9996,1,2,1,2,2,2,12,7,1,1,2,1,1,2,2,4,1,9996,7,4,9996,1,2,9996,4,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,5,9996,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,1,9996,2,3,5,4,2,4,3,1,20,2,4,4,2022
218,10,8,7,6,4,4,1,1,2,2,2,2,3,7,6,8,7,1,0,1,7,7,2,3,3,2,2,3,2,6,6,5,5,2,2,2,1,1,3,2,2,2,2,4,5,3,1,2,2,2,3,2,3,7,7,3,1,2,8,1, , ,,294962371034948, , , , ,,230081746384652, , ,3,2,9996,7,1,1,6666,2,6666,1,3,6666,9996,1,6666,6666,6666,6666,6666,6666,6666,11,5,6666,6666,6666,6666,1,6666,9996,6666,5,6666,9996,9996,1,6666,9996,6666,6666,1,9996,9996,1,6666,9996,6666,6666,3,6,9996,6666,9996,11,3,6666,3,1,2,6666,6666,4,9996,9996,1,1,7,3,5,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,9996,2,2,2,2,2,2,13,10,1,1,1,1,2,3,2,5,3,9996,6,4,9996,2,3,9996,2,9996,2,2,2,2,2,2,2,1,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,9996,6,9996,2,1,6666,4,2,1,1,1,2,2,2,2,1,2,1,2,9996,1,3,4,5,2,6,2,2,36,3,6666,5,2022
88,10,8,8,8,7,3,1,1,3,3,3,2,2,5,3,8,4,0,2,0,7,4,3,3,3,1,2,2,2,7,5,7,4,2,2,2,1,2,3,2,1,2,2,1,5,3,4,1,1,1,2,6,6,9,7,5,1,2,8,1, , ,,258317085622281, , , , ,,152707197736832, , ,3,2,9996,12,1,1,6666,2,6666,4,1,7,9996,5,6666,2,6666,6666,6666,1,1,11,5,4,10,2,2,2,2,9996,5,4,4,9996,9996,1,2,9996,6666,6666,6666,9996,9996,1,6666,9996,6666,6666,6666,10,9996,6666,9996,11,4,2,2,1,1,3,1,2,9996,9996,9996,1,7,9996,1,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,9996,2,2,2,2,1,2,13,10,1,1,2,2,1,1,1,4,1,9996,8,6,9996,3,4,9996,6,9996,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,6666,9996,7,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,1,2,2,1,2,1,2,9996,1,2,9996,9996,2,6,3,2,36,3,4,3,2022
1806,2,0,10,10,8,2,4,1,3,3,3,3,10,5,5,0,3,10,3,5,8,8,3,4,4,2,2,3,2,5,5,5,0,3,2,2,2,1,2,1,2,2,3,2,5,4,1,1,3,2,9,9,10,3,9,2,2,1,6,2, , ,3,04908780793986, , , , ,5,30410125402311, , ,3,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996
47,7,9999,8,9999,8,4,9999,2,3,2,3,4,2,5,3,6,6,7,2,2,4,3,2,4,4,2,2,2,2,7,5,7,4,2,2,2,1,1,1,1,1,1,5,3,2,1,4,1,2,2,7,6,7,7,6,6,4,2,6,5, , ,3,18150419806842, , , , ,3,64513688776901, , ,3,2,9996,15,1,1,6666,2,6666,4,1,7,9996,5,6666,2,6666,6666,6666,1,1,1,1,2,6,2,2,2,2,9996,5,6,7,9996,9996,2,2,9996,6666,6666,6666,9996,9996,2,6666,9996,3,6666,6666,10,9996,6666,9996,3,6666,2,1,1,2,6666,6666,1,9996,9996,6666,1,6,5,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,9999,9999,9999,1,9999,9996,9999,9999,9999,9999,9999,9999,6666,2,3,9999,1,1,9999,1,2,3,1,9996,5,4,9996,5,3,9996,4,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,2,9996,2,9999,6666,4,1,9999,9999,9999,1,2,2,2,2,1,2,2,9996,1,2,3,9999,3,5,3,3,55,5,6,1,2022
1495,7,9999,5,7,3,4,5,2,2,2,1,1,6,5,5,5,5,5,5,1,7,8,1,2,2,2,2,4,2,5,9999,5,9999,3,1,1,3,3,1,3,4,4,3,1,2,4,5,1,3,2,2,8,9999,6,6,3,4,2,1,2, , ,3,18150419806842, , , , ,5,35700907822972, , ,3,2,9996,9,1,1,6666,2,6666,6,3,6666,9996,1,6666,6666,6666,6666,6666,6666,6666,1,1,6666,6666,6666,6666,1,6666,9996,6666,4,6666,9996,9996,2,6666,9996,6666,6666,1,9996,9996,1,6666,9996,6666,6666,2,10,9996,6666,9996,4,3,6666,4,3,2,6666,6666,3,9996,9996,4,2,5,4,4,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,9996,1,2,1,2,2,2,9,3,1,1,2,1,2,2,2,3,3,9996,3,3,9996,1,1,9996,1,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,3,9996,3,3,6666,1,1,1,1,1,2,2,1,2,2,2,2,1,9996,2,4,1,2,4,3,3,1,47,4,6666,2,2022
898,10,8,3,9999,3,9999,3,1,2,2,3,2,7,7,7,5,4,2,0,4,6,7,9999,9999,9999,9999,9999,9999,9999,8,8,5,4,9999,9999,9999,1,2,3,2,2,1,1,2,5,3,4,1,2,2,4,4,4,7,7,6,1,1,8,1, , ,,459587203872718, , , , ,,230971213763901, , ,3,1,9996,14,1,1,6666,2,6666,4,1,7,9996,5,6666,2,6666,6666,6666,1,6666,11,5,3,8,2,6666,2,1,9996,1,4,1,9996,9996,2,6666,9996,6666,1,6666,9996,9996,1,1,9996,6666,6666,6666,6,9996,6666,9996,8,4,6666,2,1,1,2,1,1,9996,9996,6666,1,5,5,5,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,9996,2,2,2,2,1,2,12,10,1,1,2,2,1,2,1,5,3,9996,8,4,9996,5,3,9996,4,9996,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,9996,6,9996,2,1,6666,4,2,1,2,1,2,2,2,2,1,2,2,1,9996,2,2,6,5,2,4,2,2,47,4,2,3,2022
